Artikel-Nr.,  Artikelbezeichnung,EAN-Code,Preis Netto €,UVP (inkl. MwSt)  € ,Bestell Menge
117-11,Lip Finish Nr. 11,4019954117111,8.80,17.60,
,,,,,
,,,,,
117-11-T,Lip Finish Tester Nr. 11,4019954900874,5.85,,
,,,,,
,,,,,
117-13,Lip Finish Nr. 13,4019954117135,8.80,17.60,
,,,,,
,Lippen,,,,
,,,,,
117-13-T,Lip Finish Tester Nr. 13,4019954900881,5.85,,
,,,,,
,,,,,
117-14,Lip Finish Nr. 14,4019954117142,8.80,17.60,
,,,,,
,,,,,
117-14-T,Lip Finish Tester Nr. 14,4019954909297,5.85,,
,,,,,
,,,,,
117-15,Lip Finish Nr. 15,4019954117159,8.80,17.60,
,,,,,
,,,,,
117-15-T,Lip Finish Tester Nr. 15,4019954909303,5.85,,
,,,,,
,,,,,
117-16,Lip Finish Nr. 16,4019954117166,8.80,17.60,
,,,,,
,,,,,
117-16-T,Lip Finish Tester Nr. 16,4019954909310,5.85,,
,,,,,
,,,,,
117-17,Lip Finish Nr. 17,4019954117173,8.80,17.60,
,,,,,
,,,,,
117-17-T,Lip Finish Tester Nr. 17,4019954909327,5.85,,
,,,,,
,,,,,
117-18,Lip Finish Nr. 18,4019954117180,8.80,17.60,
,,,,,
,,,,,
117-18-T,Lip Finish Tester Nr. 18,4019954909334,5.85,,
,,,,,
,,,,,
117-19,Lip Finish Nr. 19,4019954117197,8.80,17.60,
,,,,,
,,,,,
117-19-T,Lip Finish Tester Nr. 19,4019954909341,5.85,,
,,,,,
,,,,,
,,,,,
,,,,,
122-21,Color Elixier Gloss Nr. 21,4019954122214,7.67,15.40,
,,,,,
,,,,,
122-21-T,Color Elixier Gloss Tester Nr. 21,4019954907958,5.15,,
,,,,,
,,,,,
122-22,Color Elixier Gloss Nr. 22,4019954122221,7.67,15.40,
,,,,,
,,,,,
122-22-T,Color Elixier Gloss Tester Nr. 22,4019954907965,5.15,,
,,,,,
,,,,,
